Angielski,Polski,Frequency,BadlyAnswer,PerfectScore
quantitative,ilościowy,14,0,0
aid,wspomaganie,12,11,1
alongside,wzdłuż,14,0,0
composed,opanowany,14,1,0
shorthand,stenografia,12,7,1
property,własność,15,1,0
arrangement,układ,14,3,0
descendant,potomek,15,4,0
ancestors,przodkowie,15,5,0
compound,pogarszać,12,10,1
appearance,wygląd zewnętrzny,14,2,0
hovering,unosić się,14,1,0
snipped,obcięty,12,12,1
hands-on,praktyczny,11,3,1
spin up,zakręcić,14,1,0
endorsed by,zatwierdzony przez,14,0,0
wholesome,zdrowy,14,6,0
at all,w ogóle,14,0,0
wasnaking,łaził,12,9,1
toppings,nadzienie,14,3,0
dough,ciasto,14,0,0
hinges,zawiasy,11,4,1
contribute,brać w czymś udział,14,11,1
management's,kierownictwo,14,0,0
employees,pracowników,14,0,0
entrance,wejście,15,2,0
splitter,rozdzielacz,15,5,0
exhibitors,wystawców,11,6,1
booth,budka/stragan,15,3,0
regimental,pułkowy,12,9,0
whole,cały,14,3,0
as right now,tak jak teraz,14,0,0
plumbing,instalacja wodociągowa,14,2,0
insightful,wnikliwy,14,4,0
insights overview,przegląd spostrzeżeń,14,0,0
to proceed,kontynuować,11,2,1
wizardry,czary,12,4,1
quick buck,szybkie złotówki,14,2,0
condensed,skondensowany,14,1,0
not in a hurry,nie w pośpiechu,14,1,0
tremendous,ogromny,14,2,0
vaccinated,zaszczepiony,14,2,0
in applied,w zastosowanym,14,1,0
foreign,zagraniczny,15,2,0
foreigners authority,Urząd ds. Cudzoziemców,14,0,0
foreigners,obcokrajowcy,14,0,0
awareness,świadomość,15,8,0
so hip,tak modnie,14,0,0
fumble around,grzebać w okolicy,14,0,0
nut,"niemądry, głupi, dziwny",14,3,0
features,cechy,14,1,0
governance,zarządzanie,14,1,0
lineage,rodowód,14,3,0
pipelines,rurociągi,15,1,0
loosely coupled,luźno powiązane,14,0,0
ingestion of,spożycie,12,12,1
peaks of,"najwyższa, najsilniejsza wartość",12,12,1
stall,stoisko,14,3,0
ingest,łykać/przyjąć pokarm,12,8,1
batch,seria,14,3,0
ingesting,połykanie,15,3,0
tedious process,żmudny proces,14,1,0
sassiness,bezczelność,14,4,0
thickens,gęstnieje,15,3,0
blemish,skaza,15,5,0
track of,ślad,14,2,0
branch-based,oddziałowy,15,6,0
deployable,do rozmieszczenia,12,11,1
associated with,związany z,14,1,0
head in,wejść do środka,14,0,0
head injury,uraz głowy,15,5,0
especially,zwłaszcza,15,1,0
once,pewnego razu,14,3,0
guidelines,wytyczne,14,4,0
embed links,umieszczać linki,14,0,0
deploy,wdrożyć,14,3,0
deployment,rozlokowanie,14,4,0
self-reliance,samodzielność,14,0,0
down the drain,praca/kasa się zmarnuje,12,4,1
prominent,znaczący,14,4,0
prominent features,wybitne cechy,14,2,0
sync meeting,zsynchronizuj spotkanie,14,0,0
startup guide,technologie,14,1,0
optic fiber,światłowód,14,1,0
penalties,kary,14,3,0
compliance,zgodność,14,4,0
on-demand,na żądanie,14,1,0
pricing,cennik,12,3,1
pros and cons,plusy i minusy,14,1,0
veracity,prawdziwość,14,2,0
fulfill,spełnić,15,2,0
queries regarding,zapytania dotyczące,14,0,0
periodically,cyklicznie,15,5,0
detach from,odłączyć się od,14,0,0
to shed,rzucić,12,10,1
woven,tkane,14,2,0
cornerstones,kamienie węgielne,14,1,0
payload,ładunek,14,4,0
versatile,wszechstronny,14,7,0
misfires,niewypały,14,1,0
invaluable,nieoceniony,14,3,0
insight,wgląd,14,2,0
consists of,składać się z,15,1,0
successors,następcy,12,5,0
declarative,deklaracyjny,14,0,0
traversable,przejezdny,14,2,0
warehouses,magazyny,15,3,0
day in and day out,dzień w dzień,14,0,0
viable approach,realne podejście,14,0,0
sleeve,rękaw,14,2,0
hourly,cogodzinny,15,1,0
glance,zerknąć,15,4,0
timeboxed,ograniczone czasowo,14,1,0
skyscraper,wieżowiec/drapacz chmur,15,1,0
preface,przedmowa,15,3,0
is a catch,jest haczyk,14,0,0
exhaustive,wyczerpujący,14,0,0
proficient,biegły,12,10,1
reinventing,wymyślanie na nowo,12,5,1
reinventing the wheel,wymyślanie koła na nowo,14,0,0
scattered,rozsiany,14,0,0
admired for,podziwiany za,14,0,0
reordering,zmiana kolejności,14,1,0
hands-on approach,praktyczne podejście,14,0,0
accomplish,osiągać,12,11,0
accomplished,znakomity/utalentowany,12,9,0
soapbox,mydelniczka,15,2,0
lingo,żargon,14,4,0
oddity,kuriozum,12,16,1
iceberg,góra lodowa,14,0,0
invocation,wezwanie,14,4,0
suitable,odpowiedni,15,2,0
fidgety,niespokojny,12,9,0
bouts of,ataki,12,7,1
treadmill,bieżnia,14,2,0
peripheral,peryferyjny,15,1,0
accelerated,przyśpieszony,15,3,0
ambient noise,dźwięk szumu,15,1,0
spades,pik,14,3,0
violating encapsulation,naruszenie hermetyzacji,14,0,0
implicit bias,niejawna stronniczość,14,0,0
implicit cost,ukryte koszta,15,2,0
than invoking them explicitly,niż przywoływanie ich wprost,14,0,0
arbitrary constant,dowolna stała,15,3,0
obtainable,osiągalny,14,2,0
contributions,składki,12,11,0
ensure,zapewnić,14,1,0
ensure that,"upewnij się, że",14,0,0
act to,"działać, aby",14,0,0
tidbits,smakołyki,14,3,0
unattainable,nieosiągalny/niedostępny,12,6,1
succinctly,treściwie,14,4,0
reiterate,powtarzać,14,5,0
unambiguous,niedwuznaczny,14,0,0
consistently,konsekwentnie,14,0,0
context management,zarządzanie kontekstem,14,0,0
unary,jednoargumentowy,12,14,1
augmented reality,rozszerzona rzeczywistość,15,2,0
fallbacks,awaryjne,12,5,1
practicality beats purity,praktyczność bije czystość,14,0,0
inclined,skłonny,11,3,0
ancestor,przodek,12,6,1
multidimensional,wielowymiarowy,14,0,0
enhancements,ulepszenia,12,4,1
relevant to identity,istotne dla tożsamości,14,0,0
depicted in,przedstawiony w,14,1,0
underused,niedostatecznie wykorzystany,12,8,1
as well,także,15,4,0
as well as,jak również,14,3,0
its intent is explicit,jego intencja jest wyraźna,14,0,0
incomprehensible,niezrozumiały,15,4,0
clobbered,ociężały,15,3,0
contortions of,wykrzywienia,14,8,0
beyond,poza,12,3,1
beyond that,ponadto,12,8,0
to compute,"wyliczyć, określić, skalkulować",15,2,0
cartesian,kartezjański,14,0,0
one-trick pony,ktoś dobry w pewnej ściśle określonej czynności,14,0,0
enclosing parenthesis,nawias zamykający,15,1,0
roster of,lista,14,4,0
arrangements,przygotowania,14,4,0
assumin,zarozumiały,14,4,0
assuming that,"przy założeniu, że",14,0,0
double-duty,podwójny obowiązek,14,0,0
overlooked it,przeoczyłem to,14,2,0
quantity shortage,brak ilości,12,8,1
vital,niezbędny,15,5,0
latitude,szerokość,15,2,0
longitude,długość geograficzna,14,0,0
dummy variable,fikcyjna zmienna,15,2,0
statement,komunikat,14,0,0
statement of account,wyciąg z konta,11,3,1
parallel assignment,przypisanie równoległe,14,0,0
removal,usuwanie,14,0,0
removalist,przeprowadzka,12,11,1
invented by,wynalezione przez,14,2,0
enhanced protection,zwiększona ochrona,14,0,0
enhanced with,wzbogacony o,14,1,0
per-instance,na instancję,14,1,0
in contrast,w przeciwieństwie,14,3,0
hourly rate,stawka godzinowa,14,0,0
instantiate,instancja,14,2,0
instantiated,skonkretyzowane,15,5,0
immutable world,niezmienny świat,14,0,0
omitted for,pominięte dla,14,0,0
quality,jakość,14,0,0
quality control,kontrola jakości,14,0,0
turn to,zabierać się do dzieła,14,7,0
exclude,wykluczać,14,4,0
excluded from,wyłączone z,14,0,0
zero-based,od zera,14,1,0
overlapping,nakładanie się,15,4,0
overlapping chatter,nakładające się rozmowy,14,0,0
overlapping action,nakładające się działanie,14,2,0
split at,podzielić w,14,0,0
by the Dutch,przez Holendrów,14,0,0
stride,dłuższy krok,12,11,0
duration,czas trwania,15,4,0
exceptionalism,wyjątkowość,11,4,1
exceptional,wyjątkowy,14,0,0
end to end,koniec końców,14,0,0
unsupervised,bez nadzoru,15,1,0
cerebral cortex,kora mózgowa,14,2,0
revived,wskrzeszony,15,8,0
fraudulent,oszukańczy,12,11,1
favors performance,sprzyja wydajności,14,4,0
favors for me,przysługi dla mnie,15,4,0
favors the bold,sprzyja odważnym,14,1,0
prerequisites,warunki wstępne,12,8,1
toolbox,przybornik,14,0,0
cross-validation,walidacja krzyżowa,14,0,0
ensembles,zespoły,15,8,0
feedforward,sprzężenie do przodu,15,4,0
convolutional,konwolucyjny,14,2,0
deep waters,głębokie wody,14,1,0
hastily,pochopnie,15,5,0
landscape,krajobraz,14,1,0
a dependable butler,niezawodny lokaj,14,3,0
self-aware,samoświadomy,14,0,0
seldom,rzadko,12,6,1
landmarks,punkty orientacyjne,14,3,0
fine-tune,dostroić,12,6,1
reveal,ujawnić,14,0,0
thereby,a tym samym,14,1,0
thereby creating,tworząc w ten sposób,14,1,0
thereby increasing,tym samym zwiększając,14,0,0
fine-tuning,strojenie,12,9,1
fluctuating environments,zmienne otoczenie,14,2,0
can tackle them,może się z nimi uporać,12,4,1
detecting tumors in brain scans,wykrywanie guzów w skanach mózgu,14,0,0
reinforcement,wzmocnienie,14,1,0
tackle,przybory,22,13,1
supervised,nadzorowane,14,3,0
supervised by,nadzorowany przez,14,2,0
interchangeably,zamiennie,12,10,1
novelty,nowość,14,1,0
novelty booths,stoiska nowości,14,1,0
embedding,osadzanie,14,3,0
prevent fraud,zapobiegać oszustwom,14,1,0
penalties shoot,strzelanie karne,14,2,0
penalties of perjury,kary za krzywoprzysięstwo,14,0,0
incrementally,przyrostowo,14,0,0
out-of-core,poza rdzeniem,15,2,0
conversely,odwrotnie,15,3,0
will gradually decline,będzie stopniowo spadać,14,0,0
whet,naostrzyć,12,8,0
merger,połączenie,12,5,1
merge,łączyć,14,0,0
mergers,fuzje,12,10,0
firsthand account,konto z pierwszej ręki,14,0,0
prevent,zapobiegać,31,7,1
toddler,brzdąc,14,0,0
toddlerhood,dzieciństwo,14,0,0
toddlers,małe dzieci,12,4,1
possibly yes,prawdopodobnie tak,15,1,0
possible causes,możliwe przyczyny,14,0,0
disambiguation,ujednoznacznienie,15,2,0
importance of data,znaczenie danych,12,3,1
reconsider,zrewidować,14,1,0
reconsidering,ponowne rozważenie,12,7,1
abandon,opuścić,14,10,0
moderately,miernie,14,4,0
moderately active,umiarkowanie aktywny,14,0,0
flawed,wadliwy,15,7,0
flawed still worthy,wadliwy nadal godny,14,0,0
were polled,byli ankietowani,12,4,1
to be biased,być stronniczym,14,0,0
irrelevant,bez znaczenia,14,2,0
feature engineering,inżynieria funkcji,14,0,0
rips you off,zdziera z ciebie,14,0,0
constraining,krępowanie,12,11,0
holdout,trzymać się,14,0,0
estimate of,oszacowanie,14,1,0
drawback,wada,13,7,0
superfluous,zbędny,12,8,1
superfluous highness,zbędna wysokość,14,2,0
assumptions,założenia,14,6,0
common,pospolity,12,12,0
common sense,zdrowy rozsądek,14,2,0
relies on,polega na,14,0,0
relies heavily,opiera się głównie,14,0,0
estimate,oszacować,14,0,0
conduct,"przeprowadzić, kierownictwo",12,5,1
very rigid,bardzo sztywna,15,5,0
prior,wcześniejszy,14,2,0
predetermined,określony z góry,14,2,0
agile,zręczny,14,2,0
agilent,sprawny,14,2,0
savvy,rozumieć,12,6,1
savvy and safe,sprytny i bezpieczny,14,0,0
savvy consumer,bystry konsument,14,0,0
charge over,przeładować,14,2,0
lean,pochylać się,15,5,0
confused with,mylić z,15,2,0
burnout,wypalić się,14,0,0
census,spis ludności,12,12,1
affordable,niedrogie,14,5,0
workarounds,obejścia,15,5,0
manageable,do opanowania,14,4,0
intact,nienaruszony,15,8,0
discretize,dyskretyzować,12,5,1
ensemble,razem,14,6,0
self explanatory,nie wymaga wyjaśnień,12,9,1
tweaking it,poprawianie tego,14,4,0
spits out,wypluwa,15,5,0
to grasp,do uchwycenia,14,1,0
robust,solidny,14,6,0
neglects,zaniedbuje,14,3,0
a bell-shaped,w kształcie dzwonu,14,0,0
don't hesitate to,nie wahaj się,14,1,0
spread across,rozłożone,12,7,1
to fetch,przynosić,12,8,0
dispersed,rozproszony,14,3,0
households,Gospodarstwa domowe,14,4,0
capped,ograniczona,12,6,0
tail-heavy,ciężki ogon,14,0,0
glance at,zerknąć na,14,1,0
stumble upon,natknąć się,12,6,1
seemingly,pozornie,12,8,1
split,podział,14,1,0
remain,pozostawać,15,1,0
other than to be the,inne niż być,15,1,0
provides,zapewnia,15,2,0
survey,ankieta,14,0,0
stratified,warstwowy,14,4,0
stratum,warstwa,14,6,0
coarse,gruboziarnisty,12,9,1
clustered,zgrupowany,14,1,0
density of,gęstość,14,2,0
coastline,linia brzegowa,15,4,0
reveals,ujawnia,14,0,0
price cap,limit ceny,12,3,1
data quirks,dziwactwa danych,14,0,0
instead of using,zamiast używać,14,0,0
utility function,funkcja użyteczności,14,0,0
be to fiddle,być na skrzypcach,14,0,0
fine-grained,drobnoziarnisty,15,3,0
rid of,pozbyć się,14,1,0
temptation,pokusa,15,5,0
inferred from,wywnioskowane z,15,1,0
raters,oceniający,14,1,0
surveys,ankiety,14,2,0
drifts too far,dryfuje za daleko,14,0,0
well stock,dobrze zapas,14,2,0
suddenly,nagle,14,2,0
at least,przynajmniej,14,3,0
diversity,różnorodność,14,3,0
consistency,spójność,14,2,0
be fetched,być sprowadzonym,15,2,0
neither of them,żadne z nich,12,2,0
outer list,lista zewnętrzna,14,0,0
reveals that,"ujawnia, że",14,0,0
augmented,powiększony,15,3,0
bound to,przywiązany do,14,1,0
intriguing,intrygancki,14,0,0
aware of that,zdaję sobie z tego sprawę,15,3,0
succeeds,odnosi sukces,14,1,0
witnessing,świadczyć,12,5,1
witnessing that,być świadkiem tego,15,2,0
subtleties,subtelności,14,0,0
subtleties and intricacies,subtelności i zawiłości,14,0,0
remind us,przypomnij nam,14,1,0
entails,pociąga za sobą,12,10,0
disappear,znikać,12,5,0
sunk on,zatopiony,14,2,0
perished,zginął,12,8,1
nevertheless however,niemniej jednak,14,1,0
regardless of,niezależnie od tego,14,2,0
embarked,zaokrętowany,14,2,0
fare,opłata,14,3,0
parch,spiec,14,4,0
siblings,rodzeństwo,15,1,0
to be exact,byc dokładnym,14,0,0
to examine its contents,zbadać jego zawartość,15,1,0
abbreviated form,skrócona forma,12,3,1
fancier than,bardziej wyrafinowany niż,14,1,0
shortcoming,niedociągnięcie,11,5,1
splits,dzieli,14,2,0
splits up,dzieli się,14,2,0
arise from,wynikają z,14,0,0
arise,powstać,14,0,0
spread out,rozrzucić,12,4,1
circular arrows,okrągłe strzałki,14,0,0
discontinuity,nieciągłość,15,2,0
within a week,w ciągu tygodnia,15,1,0
within you,bez ciebie,14,0,0
don't curate,nie wikary,14,3,0
gut,jelito,14,2,0
skim,przejrzeć,12,7,0
skimming scanning,skanowanie szumów,14,0,0
deserve it,zasługujesz na to,11,1,1
is immense,jest ogromny,14,1,0
swept away,zmieciony,12,6,1
ruthless,bezwzględny,12,5,1
along with,wraz z,14,0,0
running tally,bieganie zliczanie,12,6,1
marks out,"zaznacza, wyróżnia",12,4,0
digest,strawić,15,2,0
sticks out,wystaje,12,7,1
an elevator pitch,boisko do windy,14,0,0
elevator pitch,krótkie wytłumaczenie,14,2,0
urgent tasks,pilne zadania,14,0,0
deliberate,celowy,15,3,0
voracious,nienasycony,12,6,1
voracious reader,żarłoczny czytelnik,14,1,0
set a due,ustaw termin,14,0,0
capturing spurious,przechwytywanie fałszywych,12,3,1
is likely,jest prawdopodobne,14,2,0
coercible,przymusowy,12,8,1
just concluded,właśnie zakończyłeś,15,1,0
a needle in a haystack,igła w stogu siana,14,0,0
cereals porridge,płatki zbożowe,14,2,0
richness,bogactwo,15,1,0
domain,"domena, dziedzina",12,3,1
unit variance,wariancja jednostek,15,1,0
importance,znaczenie,14,1,0
utilized by,wykorzystywane przez,14,1,0
utilized to,wykorzystywane do,15,2,0
feasible to,możliwe do,15,1,0
cumbersome,nieporęczny,11,6,0
cumbersome process,uciążliwy proces,12,4,1
seasonal effect,efekt sezonowy,14,0,0
streamline,opływowy,12,7,0
streamlined,usprawniony,15,6,0
coverage expired,ochrona wygasła,14,0,0
pinpointed,wycelowany,14,0,0
key takeaway,zabrany klucz,14,0,0
topmost,najwyższy,15,4,0
marked over,zaznaczone nad,15,1,0
derive insights,czerpać spostrzeżenia,14,0,0
distribution,"rozkład, podział",14,2,0
survivors,ocaleni,15,1,0
preceding,poprzedzający,15,3,0
preliminary,wstępny,14,2,0
respectively,odpowiednio,15,2,0
majority of,większość,14,1,0
majority of people,większość ludzi,14,0,0
lifeboats,łodzie ratunkowe,14,0,0
the least,najmniej,15,2,0
relatives,krewni,14,4,0
relatives house,dom krewnych,14,0,0
relatives and friends,krewni i przyjaciele,14,0,0
even though,nawet jeśli,14,1,0
even though i,pomimo że ja,14,2,0
it primarily,to przede wszystkim,15,3,0
filtered out,odfiltrowane,14,1,0
among the,spośród,12,6,1
among them,pomiędzy nimi,15,1,0
systematic manner,systematycznie,14,2,0
code bundle,pakiet kodu,14,1,0
solving common,rozwiązywanie wspólnych,15,1,0
trade-offs,kompromisy,14,5,0
how to tune them,jak je nastroić,14,0,0
doesn’t delve at all,w ogóle się nie zagłębia,14,1,0
bore,nudziarz,14,0,0
impute,przypisać,12,6,1
corrplot,skorumpować,15,2,0
differ across,różnią się w poprzek,14,1,0
unintelligible,niezrozumiały,14,1,0
applied in,stosowane w,14,0,0
regex,wyrażenie regularne,12,5,1
intricate,zawiły,15,1,0
keep it,zatrzymaj to,14,0,0
spot-check,kontrola wyrywkowa,14,4,0
interpolating,interpolacja,14,0,0
tend to not provide,zwykle nie zapewniają,14,0,0
pairwise,parami,15,5,0
covariance,kowariancja,14,2,0
can spoil our,może zepsuć nasze,14,2,0
find a robust,znajdź solidny,14,1,0
performance of ,wydajność,15,3,0
plateau,płaskowyż,14,1,0
explicit,wyraźny,14,1,0
humbled,upokorzony,14,0,0
exhilarated,podekscytowany,12,7,1
vibrant,wibrujący,15,2,0
struggled with,zmagał się z,14,0,0
light-hearted,beztroski,12,8,1
blast,podmuch,14,2,0
humble,pokorny,12,4,0
unimpressed,rozczarowany,14,0,0
indomitable,nieposkromiony,12,3,1
indomitable courage,niezłomna odwaga,15,1,0
indomitable will,niezłomna wola,14,2,0
garrison,"garnizon, załoga",14,1,0
echo chambers,komory echa,12,4,1
fortified,warowny,14,3,0
good ol' days,stare dobre dni,14,0,0
misadventures,nieszczęścia,14,0,0
wised up,mądry,12,6,1
thereafter,odtąd,12,5,1
wastelands,nieużytki,12,6,1
mesh,siatka,14,1,0
irresponsible,nieodpowiedzialny,14,0,0
irresponsible behavior,nieodpowiedzialne zachowanie,14,0,0
newly-christened,nowo ochrzczony,14,1,0
eternal,wieczny,14,1,0
eternal love,wieczna miłość,14,0,0
foe,wróg,15,4,0
rendition,wykonanie,12,4,1
sacrificing,poświęcenie,14,0,0
modicum of,odrobina,12,9,0
frail mortal coil,słaba śmiertelna cewka,12,3,1
nonetheless,niemniej jednak,14,0,0
wankers,frajerzy,14,1,0
grassroots level,poziom podstawowy,14,2,0
the pile,słup,15,3,0
sort of mound,rodzaj kopca,14,3,0
stingy,skąpy,14,1,0
stingy people,skąpi ludzie,15,1,0
cursory glance,pobieżne spojrzenie,14,1,0
abject,nikczemny,12,6,1
cross-domain,międzydomenowy,15,5,0
smoothly as,płynnie jak,14,0,0
announce,ogłaszać,12,2,1
pledged to,zobowiązał się do,15,1,0
torment of,udręka,12,8,0
distill,destylować,14,0,0
feasible,wykonalny,14,4,0
feasible solution,wykonalne rozwiązanie,14,0,0
wrapped up,opakowane,15,3,0
promptly and firmly,szybko i stanowczo,15,1,0
fine tune,dostroić,12,6,1
inference,wnioskowanie,12,4,1
quaint,osobliwy,12,6,1
gotten up,wstać,15,4,0
gotten,dostał,15,1,0
gotten over,się skończyło,14,2,0
spare time,wolny czas,12,2,0
integrating skills,umiejętności integracyjne,14,0,0
spin it,zakręć tym,14,0,0
spin it out,odkręć to,14,0,0
revival of,odrodzenie,15,8,0
underutilized,niewykorzystany,14,0,0
astonishing,zadziwiający,15,2,0
whodunit,kryminał,15,4,0
vastly,bardzo,12,5,1
hooked up,podłączony,14,6,0
ignition,zapłon,14,3,0
not bode well,nie wróży dobrze,14,0,0
swathes of,pokosy,14,6,0
entities,podmioty,12,5,0
downplay,bagatelizować,12,10,1
discourage,zniechęcać,14,1,0
probing,sondowanie,14,3,0
self-supervised,samonadzorowany,14,0,0
astounding,zdumiewający,24,0,0
silliest ideas,najgłupsze pomysły,14,0,0
PhD Student,doktorant,14,0,0
rag-tag,niezorganizowany,12,6,1
from afar,z daleka,14,0,0
courtesy of,dzięki uprzejmości,14,3,0
vastly different,ogromnie inny,14,0,0
maintainer of sanity,opiekun zdrowia psychicznego,12,6,1
lurkers,czający się,11,5,0
frenetic pace,szalone tempo,12,4,1
credentials,referencje,14,2,0
involvement in,zaangażowanie w,14,0,0
flaneur,ktoś kto ogląda jak ktoś coś robi,12,13,0
thrillingly,emocjonująco,12,8,1
despise,pogardzać,15,4,0
surreal,surrealistyczne,14,2,0
bemusing,oszałamiający,15,3,0
cast of interlocutors,obsada rozmówców,15,1,0
overstate,zawyżać,14,2,0
alignment,wyrównanie,14,0,0
disempowerment,ubezwłasnowolnienie,14,2,0
hindsight,celownik,12,6,1
newly,nowo,14,0,0
convolutional neural network,splotowa sieć neuronowa,14,1,0
variational,wariacja,14,1,0
to extract,wydobywać,12,4,0
gated recurrent unit,bramkowana jednostka nawrotowa,15,2,0
autonomous vehicles,pojazdy autonomiczne,14,0,0
well-versed,dobrze zorientowany,15,1,0
 is assumed,zakłada się,14,2,0
gradient descent variations,wariacje zejścia gradientowego,14,0,0
bidirectional,dwukierunkowy,14,0,0
improve upon deep,poprawić się na głębokości,14,1,0
in menus,w menu,14,0,0
underpinnings,podstawy,14,3,0
the nuts and bolts,nakrętki i śruby,14,0,0
intricacies of,zawiłości,15,6,0
cornerstone,kamień węgielny,15,1,0
special entity,podmiot specjalny,12,2,1
underscore,podkreślać,14,1,0
branches related to,branże związane z,14,0,0
denoted by,oznaczony przez,15,1,0
purposes of,cele,12,5,1
indicates,wskazuje,14,0,0
contemporary,współczesny,14,1,0
relevant to,istotne dla,14,3,0
product of vectors,iloczyn wektorów,14,0,0
cosine similarity,cosinus podobieństwa,14,0,0
perpendicular,prostopadły,15,2,0
has to satisfy,musi spełniać,14,1,0
additivity,addytywność,14,1,0
homogeneity,jednorodność,14,0,0
element-wise addition,dodawanie elementów,14,0,0
non-commutative operation,operacja nieprzemienna,14,0,0
thought through,przemyślane,12,4,1
of each trial,każdej próby,12,2,1
are known in advance,są znane z góry,14,0,0
coin toss,rzut monetą,14,0,0
dice throw,rzut kostką,14,0,0
occur,zdarzać się,15,1,0
so on,wkrótce,14,4,0
gibberish,"szwargot, żargon",14,0,0
latency of,opóźnienie,14,1,0
biased,stronniczy,14,0,0
let's assume,załóżmy,14,1,0
conditional probability,warunkowe prawdopodobieństwo,14,0,0
joint probability ,wspólne prawdopodobieństwo,14,0,0
marginal probability,marginalne prawdopodobieństwo,14,0,0
occurrence,występowanie,12,4,1
we'll denote,będziemy oznaczać,15,3,0
satisfies,spełnia,14,0,0
albeit,aczkolwiek,12,7,0
exponent,wykładnik,14,0,0
attempts to,próbuje,12,6,1
reciprocity,wzajemność,11,2,1
prevalent,rozpowszechniony,12,5,1
approximate,przybliżony,12,3,1
itself,samo,15,2,0
itselfs,sama w sobie,15,1,0
 bird's-eye view,widok z lotu ptaka,15,1,0
perpendicularly,pionowo,12,3,1
multivariate,wielowymiarowy,14,0,0
convey,przekazywać,15,3,0
to bad-mouth someone,wieszać psy na kimś,15,1,0
prerequisite,warunek wstępny,14,3,0
prerequisite knowledge,wymagana wiedza,14,0,0
read off,odczytać,14,2,0
this particular,to szczególnie,14,0,0
malignant,złośliwy,15,2,0
harmful,szkodliwy,14,3,0
upward,w górę,14,0,0
denote,oznaczać,14,1,0
whether,czy,14,1,0
benign,łagodny,14,3,0
remarkably,wybitnie,12,5,1
persuade,namówić,15,2,0
dive in,nurkować w,14,0,0
figure out,rozwiązać,12,4,1
narrowly,wąsko,12,2,1
slash,ciąć,14,1,0
bleeding edge,krwawiąca krawędź,14,0,0
obstacles,przeszkody,14,1,0
stunts,akrobacje,12,5,1
subsequent,kolejny,14,2,0
miserable,nieszczęśliwy,14,0,0
emerges from,wyłania się z,14,0,0
superscript parentheses,nawiasy w indeksie górnym,14,0,0
manage,radzić sobie,12,8,0
lower hill,niższe wzgórze,15,3,0
steepest descent,najbardziej strome zejście,12,2,1
rarely used,rzadko używane,14,1,0
turns out that,"okazuje się, że",14,0,0
contours,kontury,14,0,0
whereby,w wyniku czego,12,8,1
run past,przebiec obok,15,1,0
turn out,okazać się,34,7,0
substract,odjąć,14,3,0
so hence,więc stąd,14,2,0
sum it up,podsumowując,14,0,0
instead of,zamiast,14,1,0
convergent,zbieżny,14,2,0
grace,jakość płynnego poruszania,12,11,0
no harm trying,nie zaszkodzi próbować,14,1,0
drag down,zmniejszyć ilość,14,1,0
fiddle with it,bawić się tym,14,0,0
prohibit-prohibitively,zabronić-nielegalnie,12,3,1
prohibitive,za drogie,14,5,0
flavour,coś szczególnego,12,4,1
following,następująca,14,3,0
roughly of,z grubsza,14,0,0
remain ,zostać w tym samym miejscu,12,8,0
broad arc,szeroki łuk,14,0,0
alluding to,nawiązując do,14,0,0
cloudy day,pochmurny dzień,14,0,0
first thing first,ważne rzeczy idą pierwsze,15,1,0
fly off the handle,wpadać we wściekłość,14,1,0
follow in someone's footsteps,podążać czyimś śladem,14,0,0
for good,na zawsze,15,1,0
for the time being,na ten czas,12,2,1
frame of mind,nastrój,12,7,0
get carried away,być podekscytowanym na coś,14,2,0
have a ball,mieć dobry czas,14,0,0
go with the flow,prowadzić spokojne życie,14,0,0
merciless,bezlitosny,12,9,0
keep someone posted,poinformowanie kogoś,14,0,0
ill at ease,niekomfortowo,14,4,0
have one's hand full,być bardzo zajętym,15,2,0
a suite of,powiązane ze sobą,14,0,0
shallow field,mniejszy zakres skupienia na,12,6,1
approach that you,podejść do ciebie,14,0,0
appreciation,uznanie,18,4,1
appreciation ,zrozumienie czegoś ważnego,12,9,0
opaque,trudne w zrozumieniu,12,4,1
off-the-shelf,dostępny od ręki,14,0,0
get more out of,wyciągnij więcej z,14,0,0
developed for learning purposes,opracowany do celów edukacyjnych,14,0,0
clearly lays out,jasno określa,15,1,0
the latter approach,drugie podejście,14,0,0
more robust,bardziej wytrzymałe,15,1,0
reinforce,wzmacniać,14,0,0
internally,wewnętrznie,14,0,0
myriad of,niezliczona ilość,12,3,1
comprised of,składa się z,15,2,0
 onset of diabetes,początek cukrzycy,14,0,0
 iris flower species,gatunki kwiatów irysa,14,0,0
approximately,około,12,2,1
taking a peek,rzucić okiem,12,4,1
hold the outcome,trzymaj wynik,15,3,0
downstream,używane do opisania czegoś potem,12,6,1
denominator,mianownik,14,0,0
meter,licznik,15,4,0
always on the go,zawsze w biegu,14,0,0
apples-to-apples,używane kiedy dwie rzeczy są inne,15,2,0
assessment,oszacowanie,15,1,0
roughly ,w przybliżeniu,12,7,0
remainder,reszta,12,6,1
downside of,minusem,11,2,1
is fixed at,jest ustalona na,14,0,0
established,przyjęty,12,10,0
variance,zmienność,15,3,0
richly,bogato,14,0,0
rewarded,wynagrodzony,14,2,0
quest for,poszukiwanie,15,2,0
attendance on,frekwencja na,15,1,0
additional review,dodatkowa recenzja,12,2,1
laid out,rozłożony,12,5,1
breakthroughs,przełomy,15,3,0
tenacity,wytrwałość,12,7,0
tenacious,wytrwały,14,2,0
sensible baseline,rozsądna linia bazowa,14,0,0
insurance,ubezpieczenie,14,0,0
